id,element,needs,proposed_owner,sourcing,depends_on,relative_effort,acceptance,source,status,start_guidance
1.1,Experience benchmark and reference contract,"Annotate asteroid reference with ship framing, scale hierarchy, readable route, near passes and feedback; capture current baseline at same view",Lead + owner,No purchase,None,S,Owner selects the comparison view and names the missing sensations,"Briefing pp1,7-9,18",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
1.2,Shared content integration contract,"Freeze units, axes, camera envelope, pilot/seat/grip/tail space, collision hull, sockets, asset names, export/import settings and source handoff rules",Lead technical artist/agent,Specialist reviews contract,1.1,M,One alignment scene opens correctly in Blender and UE; both artists sign off dimensions,"Briefing pp3-4,17",Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
1.3,Test and tuning workbench,"Record approach speed, time to possible contact, damage cause, encounter composition, frame time and exact build; expose safe Data Asset tuning controls",Agent,Build internally,1.1,M,Two settings can be compared reproducibly without changing canonical run rules or shipping debug overlays,"Scope 5,45-49",Planned - quality not accepted,Start G0/G1; instrument first comparisons and extend through qualification
2.1,Flight authority and devices,"Tune forward motion, pitch/yaw/bank, acceleration, inertia, mouse and stick curves, sensitivity dial and inversion; preserve frame independence",Agent + owner playtest,Build internally,1.1,L,Owner can intentionally weave and recover with mouse and controller; no unexplained reversal or drift,Briefing p7,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
2.2,Boost brake and dodge decisions,"Tune resource cadence, heat-limited partial brake, directional burst and recovery; add clear cooldown/overheat/boost feedback with no invulnerability",Agent + owner playtest,Sound sources possible,2.1,M,Each maneuver solves a different danger; braking cannot bypass the field; dodging into a rock still hurts,Scope 6,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
2.3,Flight chase framing,Tight stable rear view composed around actual ship/pilot; modest pullback and bank response; reticle visibility and optional shake/blur,Agent + technical artist,Build internally,1.2;2.1,M,Near obstacles and pilot remain readable at high speed on both devices without camera mode changes,Briefing pp7-9,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
2.4,Damage and recovery feedback,"Shield versus hull response, impact direction and weight, contextual hull regeneration, severe impact/subsystem warnings, repair feedback",Agent + audio/VFX specialist,License source sounds; custom final mix,2.2;2.3,M,Player explains what hit them and what recovered; shield never passively refills and purchases survive temporary impairment,Briefing p11,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
3.1,Asteroid mesh and surface family,"Source small/medium/massive rocky silhouettes; irregular profiles, fracture interiors, roughness/normal detail, LODs and collision proxies",Environment artist + agent,Buy curated rock kit then normalize,1.1;1.2,M,At chase distance bodies read by scale and avoid/destroy role; surface detail holds during close pass,Briefing p9; art/asteroids.jpg,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
3.2,Asteroid field composition,"Author safe but threatening arrangements, foreground framing, mid-distance decisions, far non-colliding density, moving scale/depth cues",Agent + encounter designer,Custom layouts using kit,2.1;2.3;3.1,L,Short natural-play benchmark evokes reference intensity while leaving a visible reachable escape choice,Briefing pp7-9,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
3.3,Destruction and fragments,"Small destruction, medium break states and bounded dangerous fragments, hit flashes/debris/audio, useful drops; massive rocks stay avoid-only",Agent + VFX artist,Kit fracture meshes can help,2.4;3.1;3.2,M,Shoot-versus-avoid decision is meaningful; fragments are warned/reactable and cannot spawn unavoidable hits,Scope 10,Planned - quality not accepted,Start once required interfaces/reference decisions are stable; integrated acceptance requires listed predecessors
